"-97.133753,32.662022"
"145.00244,-37.844808"
"-121.412766,38.573218"
"22.941143,40.632234"
"-75.930934,43.982532"
"-109.967795,27.498994"
"-1.836793,52.536935"
"-122.359382,47.646815"
"-122.353792,47.643381"
"-1.832807,52.535386"
"-77.264335,45.891621"
"-117.084753,32.710929"
"-89.325526,43.116969"
"-122.625233,45.360321"
"-122.61639,45.364146"
"-81.768193,28.048292"
"-73.173966,44.447277"
"153.403591,-27.940503"
"153.403758,-27.940427"
"-81.350809,28.359956"
"-117.558163,34.121211"
"-117.985174,33.795838"
"-117.992866,33.801407"
"-117.99303,33.802691"
"-117.565483,34.118022"
"-117.984566,33.805439"
"174.735981,-36.738214"
"-77.247368,38.787209"
"-77.240097,38.786296"
"-77.235106,38.780966"
"-77.232855,38.779661"
"-77.234857,38.780207"
"-77.240402,38.792109"
"-77.238673,38.772313"
"-77.230982,38.768747"
"-77.224444,38.781796"
"-117.560808,34.123427"
"-77.241759,38.804814"
"-77.248274,38.812685"
"-117.561666,34.123369"
"-77.254817,38.808579"
"-77.253898,38.809729"
"-77.265279,38.802945"
"-77.249701,38.820575"
"-77.248059,38.82164"
"-77.229019,38.773527"
"-79.838934,43.222925"
"-89.61653,40.759286"
"21.916394,47.050489"
"26.561948,55.881209"
"26.558611,55.881149"
"-98.257781,41.221939"
"26.553172,55.886471"
"-98.257781,41.221939"
"-98.258575,41.222052"
"-122.782956,45.464397"
"26.549739,55.892346"
"26.549444,55.877426"
"4.606748,52.35972"
"-117.975412,33.822059"
"150.854666,-34.599938"
"-2.070858,53.437266"
"-80.6385,28.05011"
"150.855787,-34.599589"
"150.848626,-34.596847"
"-121.539624,37.781875"
"-2.071803,53.437477"
"-74.127122,40.106847"
"-2.06463,53.439369"
"-2.061026,53.439228"
"-2.05586,53.438391"
"-117.975519,33.824216"
"16.483894,38.924862"
"-118.928753,35.368742"
"8.627486,50.081661"
"-75.749477,39.690949"
"16.493429,38.927466"
"16.514044,38.913276"
"26.542658,55.871001"
"-80.438526,25.695805"
"-117.974989,33.824107"
"-123.184333,49.260943"
"-79.390258,43.665683"
"26.527562,55.869334"
"-123.166051,49.257974"
"-73.82202,40.744371"
"-73.825405,40.742912"
"153.030496,-27.475836"
"-80.336666,25.755411"
"-83.65088,41.373679"
"151.953764,-27.582516"
"-106.682932,35.313234"
"-106.730134,35.317708"
"-106.619348,35.080769"
"9.959231,53.572905"
"-117.909546,33.986601"
"-117.909493,33.986479"
"-95.81062,29.778351"
"-95.809456,29.774622"
"-117.908648,33.98137"
"-117.909281,33.975649"
"-95.808801,29.774282"
"-75.533425,40.133585"
"-122.487854,37.775954"
"-113.536062,53.575066"
"-83.128631,42.600996"
"-83.128513,42.601517"
"-83.129559,42.600753"
"-78.315921,35.513941"
"-121.259834,44.054699"
"-86.572695,34.891035"
"-119.760539,39.1929"
"-118.626298,34.495039"
"-121.263109,44.051663"
"-119.774758,39.198399"
"-123.129315,49.170267"
"-119.782476,39.520016"
"-119.782198,39.527"
"14.360966,48.255734"
"148.600581,-32.250464"
"7.107425,50.737691"
"-121.937878,37.347494"
"-122.037034,37.556996"
"-122.036884,37.552454"
"-82.885977,39.962478"
"-122.027764,37.539541"
"146.758021,-19.316646"
"-121.983132,37.54553"
"146.762672,-19.310106"
"-121.958714,37.533092"
"-97.737518,30.414404"
"144.987356,-37.778932"
"144.988364,-37.778296"
"144.990295,-37.777813"
"-95.352493,32.201758"
"-117.092594,33.611798"
"-95.353067,32.202071"
"-93.22552,45.191863"
"-77.589934,39.755942"
"150.896369,-33.856999"
